,YEAR_MONTH,MATERIAL_CODE,SUM(A.SALES_QTY_TOT),SUM(SALES_VALUE_TOT)
,2019-06,00000461800010400301,162.93,7435904.85
,2019-06,00000451100025400300,397.19,16850706.25
,2019-11,00000000000614210100,38043.59,1018769937
,2019-06,00000171409090100500,89.92,3254276.4
,2019-05,00000151100025330200,48.85,1964162.5
,2019-06,00000451100036600200,3.43,163885.4
,2019-06,00000000000006313101,121196.37,82579977.15
,2019-06,00000161200008800102,519.73,22271082.1
,2019-06,00000451100040400700,623.99,25352068.7
,2019-11,00000000000614700200,119.12,3927780
,2019-06,00000000000611100707,146.78,4644053.6
,2019-06,00000471100053401000,23.38,956475.8
,2019-06,00000151200016810500,550.49,24101339.5
,2019-06,00000451100036400700,315.63,13275102.05
,2019-06,00000171100085400700,316.99,13277570.1
,2019-06,00000471100050130200,675.98,26169866.15
,2019-06,00000171407575210200,27.26,1079496
,2019-11,00000171409090330200,302.22,10218005.8
,2019-06,00000171406565350100,407.83,16287797.5
,2019-06,00000451900028330201,92.26,3974151.2
,2019-06,00000000000006211411,1888.28,42580714
,2019-06,00000161200008800103,22.72,974423.39
,2019-06,00000000000006211912,460.96,11535839
,2019-06,00000000000613040000,296.97,10831306.15
,2019-11,00000171407777400500,29.94,1194007.2
,2019-06,00000171100090400200,14.65,614598.7
,2019-06,00000471100053400700,236.47,9789314.8
,2019-06,00000000000611100716,529.54,16825944
,2019-06,00000461800008110101,214.24,8818940.7
,2019-06,00000161200012800103,28.89,1184473.4
,2019-04,00000000000006311301,10355.4,201339657
,2019-04,00000171100080400700,43.16,1999152.7
,2019-04,00000000000613050100,120.22,4525927.8
,2019-04,00000171100071301500,4.66,191805.6
,2019-04,00000451900020330201,140.78,6367786.8
,2019-04,00000171407777100400,80.5,2959985
,2019-04,00000161800010330201,87.81,4025216.75
,2019-04,00000000000006219105,43.2,454362
,2019-11,00000461800505520501,501.73,18533621.5
,2019-04,00000151200028800300,194.92,8388515.5
,2019-04,00000000000614100500,122.58,4318493.4
,2019-04,00000000000613040000,284.45,11168523.2
,2019-04,00000000000612100516,66.68,2277976
,2019-04,00000451100020301500,58.26,2561472.6
,2019-04,00000000000004500057,196.32,4554624
,2019-04,00000000000614400300,28.12,1125362.4
,2019-04,00000461800000030010,141.1,5117913
,2019-04,00000471100056605100,4.92,256627.2
,2019-04,00000000000612050007,30,1049700
,2019-04,00000461800010110101,319.84,14024976.2
,2019-04,00000461800505500201,2.1,99498
,2019-04,00000451100040610300,99.83,4830612.3
,2019-10,00000451100042400300,294.94,10815925.4
,2019-04,00000171409090400200,69.8,2838068
,2019-04,00000451100023710100,192.28,9440948
,2019-10,00000451900022330201,580.85,20507480.35
,2019-10,00000461800012325201,99.02,3833449.4
,2019-04,00000171100075330200,12.36,508737.6
,2019-04,00000451900020400301,2.13,103731
,2019-04,00000171100075400700,34.93,1577388.5
,2019-05,00000451100032600200,3.24,154661.4
,2019-04,00000000000613400404,187.06,7882708.4
,2019-06,00000471100053331700,106.54,4261367.4
,2019-04,00000161800006301201,2.4,107880
,2019-10,00000461800505500501,52.08,1515528
,2019-10,00000461800007301601,151.36,5358865.2
,2019-10,00000471100045600200,156.43,6526477
,2019-10,00000471104605330200,152.67,5475097.1
,2019-06,00000171100075400300,157.09,6498274.65
,2019-06,00000161200008810501,76.66,3291487.4
,2019-10,00000171100080400700,295.96,10000497.15
,2019-06,00000171409090410300,45.9,1903066.4
,2019-06,00000451900032301501,149.74,4929985
,2019-06,00000471100068400700,89.55,3734100
,2019-06,00000471100053600100,37.08,1726150.8
,2019-06,00000000000614400500,280.94,10512640
,2019-06,00000451100032401000,15.57,648682.4
,2019-06,00000471100063410200,141.43,6140890.6
,2019-10,00000471100060331600,18.99,681551.1
,2019-07,00000471100058400300,247.27,10417794.3
,2019-07,00000471309008130200,412.19,16812581.9
,2019-07,00000471100063400500,143.13,6045609.15
,2019-07,00000161200010800301,4659.33,189463739.4
,2019-07,00000161200012800101,3529.87,142754527.2
,2019-06,00000171407777409900,114,3970620
,2019-07,00000000000006211610,1026.56,28116973
,2019-07,00000471307508130200,1060.24,43160380.98
,2019-07,00000461800018301501,56.36,2407161.6
,2019-07,00000471100068330200,216.27,8636295.8
,2019-06,00000461800605301301,43.94,1849955.8
,2019-07,00000471100053400300,637.58,26399872.45
,2019-07,00000171406565400500,909.47,35047592.4
,2019-07,00000000000614100400,1507.52,46487122.4
,2019-07,00000461800014400301,126.34,5044899.65
,2019-07,00000171407777330800,512.95,19754917.1
,2019-07,00000471100056330200,318.24,12767240.2
,2019-07,00000000000614400500,302.52,10562341.8
,2019-07,00000171406565400300,818.29,31938138.1
,2019-07,00000161200012810502,216.71,9132473.7
,2019-07,00000471100053400700,16.93,726264.4
,2019-07,00000000000614410300,2.15,83205
,2019-07,00000171620075130205,31.76,1279393.7
,2019-07,00000461800505520201,1381.72,61568959.1
,2019-07,00000471100045332000,198.64,7902937.6
,2019-07,00000471100063400700,181.91,7470096.5
,2019-07,00000461800007520701,288.54,12305575.2
,2019-07,00000471100056400200,33.92,1450061.5
,2019-07,00000461800605110101,681.01,28027194.2
,2019-07,00000461800505520901,99.02,4362105.2
,2019-07,00000000000004500060,3637.86,89855142
,2019-10,00000461800007301501,746.3,26484746
,2019-07,00000171406565330200,94.98,3300307.8
,2019-07,00000171406565210200,427.21,16213195.75
,2019-07,00000451100042400300,128.43,5427096.75
,2019-10,00000471100068400300,210.07,7711191.7
,2019-07,00000461800505330201,1003.85,41178849.4
,2019-09,00000171409090100700,1175.61,40264119.2
,2019-09,00000451100028330200,1752.19,65861166.75
,2019-09,00000451100032400700,276.08,11138528.5
,2019-08,00000451100025400700,452.46,17506679.8
,2019-08,00000461800007301201,862.28,34198614.4
,2019-08,00000171409090400600,75.95,2952139.8
,2019-08,00000471310008130200,561.78,21903705.3
,2019-09,00000471307508130200,1486.78,57585005.3
,2019-08,00000161200008800101,8955.65,362033252.3
,2019-08,00000000000615100700,3904.79,124515517.9
,2019-08,00000471100045400300,1373.57,54851003.05
,2019-08,00000000000006211903,61.24,2198516
,2019-08,00000451100032330200,3467.38,133875375.3
,2019-08,00000451103305330200,179,6575714.9
,2019-08,00000461800014330201,1023.13,40921434.45
,2019-09,00000000000006313101,56649.58,26566693.48
,2019-09,00000451100022400300,291.86,11854871.7
,2019-09,00000461800008301201,759.06,28649686.95
,2019-08,00000000000613400400,159.56,6515023.2
,2019-08,00000471100053400700,135.26,5219165.5
,2019-09,00000171620075130200,2208.08,86918800.85
,2019-09,00000461800605301201,1293.37,50244897.4
,2019-09,00000451100030400300,218.92,8980411.05
,2019-09,00000451100030330200,693.58,25750927.5
,2019-09,00000000000006211601,1499.04,36253980
,2019-08,00000461800505520501,337.1,13957165.9
,2019-08,00000981200016800100,2750.48,110802655.6
,2019-07,00000000000614710200,81.97,3010033.1
,2019-08,00000171100085330200,195.79,7778281.15
,2019-08,00000451100028400200,35.35,1472820.25
,2019-08,00000000000615600200,137.18,5085067.4
,2019-08,00000461800018330201,764.59,30429714.3
,2019-09,00000161200012800302,2571.46,94943004.33
,2019-09,00000461800010301501,797.65,30790590.8
,2019-08,00000171100080400300,210.36,8648444.9
,2019-09,00000471104605400300,407.37,15361495.8
,2019-08,00000461800605110101,514.19,20486613.9
,2019-08,00000171100080400200,116.27,4622142.1
,2019-08,00000461800008301501,496.13,20034671.9
,2019-08,00000451100022400700,61.03,2533797.55
,2019-07,00000981200016800100,250.21,10313656.2
,2019-08,00000461800505520301,805.29,32740818.6
,2019-09,00000461800010110101,277.49,10311103.9
,2019-09,00000471100058400300,426,17130721
,2019-08,00000000000615400300,143.18,5145539.8
,2019-08,00000471104605330200,502.32,19393826.95
,2019-08,00000451100020400900,63.71,2379568.5
,2019-08,00000171409090700200,129.9,5182686
,2019-08,00000171409090700300,52.38,2581253.1
,2019-09,00000000000623211000,1149.8,40100617.4
,2019-09,00000461800505400301,186.33,7222293.2
,2019-09,00000171100085400700,331.73,13033246.9
,2019-09,00000471100050400600,61.99,2501958.3
,2019-08,00000451900028330201,67.05,2568635.8
,2019-09,00000161200008120201,1569.12,62893117.8
,2019-08,00000461800008530101,479.31,20040445.25
,2019-08,00000461800008330201,71.31,2868716.15
,2019-09,00000451100028130200,164.22,5819701.2
,2019-09,00000171406565400500,634.03,24014613.3
,2019-08,00000451900020330201,259.95,10242143.85
,2019-09,00000000000615100716,532.16,16097840
,2019-08,00000000000615210100,94.9,3031106
,2019-09,00000471100063400700,129.11,5148586.1
,2019-08,00000000000006211411,2094.22,49800930
,2019-08,00000000000615331700,105.62,3438364.8
,2019-09,00000471100050400700,101.43,3966670.1
,2019-09,00000461800014400301,153.68,6103900.9
,2019-08,00000471100045600200,56.28,2588791.7
,2019-09,00000161200010800102,205.85,7745118.1
,2019-08,00000171100075409900,42.72,1620857.2
,2019-09,00000461800016310201,457.15,17794984.9
,2019-09,00000171406565100500,118.89,3765703.8
,2019-09,00000000000006321307,97.66,136724
,2019-07,00000169900000999999,9.77,205658.5
,2019-09,00000000000006313107,1715.64,686256
,2019-09,00000451100030400700,19.5,785765.4
,2019-10,00000471100060330200,357.39,12671805.55
,2019-09,00000461800008325101,62.86,2716014.3
,2019-08,00000000000004500020,734.92,14216591
,2019-08,00000171407575400300,7.67,297596
,2019-07,00000461800505521001,204.2,8943166.1
,2019-09,00000471100063130226,23.72,887365.2
,2019-08,00000461800007520701,179.28,7030485.2
,2019-08,00000000000611050100,94.76,3062643.2
,2019-09,00000471100056400200,12.49,507205.5
,2019-08,00000000000615330700,31.06,851044
,2019-08,00000451100036401000,65.43,2628077.55
,2019-10,00000451100040610300,68.12,2684960.6
,2019-09,00000451100036600200,12.66,579562.8
,2019-09,00000171409090610400,1.49,62982.3
,2019-07,00000000000614301500,28.48,940979.2
,2019-09,00000461800505310901,122.13,4475650.5
,2019-07,00000171409090400200,34.28,1131240
,2019-07,00000151100025330200,60.55,2264677.9
,2019-08,00000000000611100500,269.52,8449452
,2019-08,00000171100090400700,14.31,581272.2
,2019-08,00000451900022400301,56.95,2024371.25
,2019-08,00000471100063610300,26.8,1147308
,2019-10,00000171409090301200,234.22,8255180
,2019-08,00000461800014130201,35.21,1414877.6
,2019-09,00000981200008800300,56.53,2342037.9
,2019-09,00000000000611050016,26,819520
,2019-07,00000471100056400900,12.8,545054.9
,2019-08,00000471100053330226,2.32,90967.2
,2019-07,00000000000615330700,88.14,2415036
,2019-08,00000171409090301200,159.66,5780759
,2019-09,00000471100053600200,58.5,2453851.7
,2019-08,00000451900042301501,24.96,982924.8
,2019-07,00000000000615210100,3.8,124716
,2019-11,00000000000006318109,239.04,143424
,2019-09,00000000000615409900,28.93,980727
,2019-11,00000000000614710200,155.98,5360878
,2019-11,00000161200012810501,91.85,3375610.4
,2019-09,00000461800006110101,91.58,3246293.4
,2019-11,00000000000006211602,73.78,1625624
,2019-11,00000000000615400300,168.44,5166266.5
,2019-09,00000461800008400301,12.49,494791.35
,2019-11,00000471310010130200,92.06,3329690.96
,2019-11,00000171407777100600,5.98,211692
,2019-11,00000000000006211903,20.8,644800
,2019-10,00000471100068400700,62.89,2096123.7
,2019-10,00000171407777400500,1065.62,38374422.2
,2019-10,00000461800010301501,172.91,5944475.95
,2019-10,00000171100090400200,35.59,1320232.45
,2019-10,00000171406565350100,30.2,1076630
,2019-10,00000000000613100500,21.62,739404
,2019-10,00000000000004500022,184.76,1681316
,2019-05,00000171409090710200,70.99,3033402.7
,2019-06,00000171406565410100,131.34,5339992.2
,2019-10,00000171406565400400,9.32,336545.2
,2019-06,00000461800020310201,14.56,598998.4
,2019-04,00000451100030330200,6.65,292866
,2019-04,00000471100058301500,20.98,867732.8
,2019-05,00000471100063600200,48.96,2233065.6
,2019-10,00000000000006211602,24.9,622500
,2019-05,00000000000613400400,59.84,2473785.6
,2019-05,00000471100056400200,32.02,1275676.8
,2019-10,00000000000613400500,94.52,3595540.8
,2019-08,00000471100063331700,78.12,2974028.4
,2019-10,00000171407777400600,15.44,557538.4
,2019-07,00000000000614700200,46.76,1736188.4
,2019-05,00000471100056400500,9.12,373099.2
,2019-07,00000451100028030100,42.88,1321990.4
,2019-06,00000451100042400500,0.89,37673.7
,2019-06,00000461800007400401,6.15,260637
,2019-08,00000171310008130200,8.96,348096
,2019-08,00000471100050400600,57.02,2299549.8
,2019-09,00000451900020400301,23.19,953073
,2019-08,00000171409090710100,42.22,1579450.2
,2019-07,00000000000613409900,10.92,409390.8
,2019-10,00000471100053130200,17.08,572350.8
,2019-07,00000471100050401026,16.36,674195.6
,2019-12,00000171615075130205,642.36,22348883.4
,2019-12,00000000000006318109,590.68,354408
,2019-12,00000000000006321309,4182.82,5010478.2
,2019-12,00000151200016800300,18160.58,638022110
,2019-12,00000000000006324302,3054.59,336004.9
,2019-12,00000000000615330200,541.44,16801032.6
,2019-12,00000161200010800101,4594.5,164032372.8
,2019-12,00000171610050130200,4386.83,160845471
,2019-12,00000171615075130200,6425.45,235820651.6
,2019-12,00000471310008130200,385.31,14286802.7
,2019-12,00000451100020400300,694.48,26245066.8
,2019-12,00000461800014301501,1019.71,36486845.2
,2019-12,00000171100090330200,1110.72,39858441.93
,2019-12,00000471100056330200,1082.84,37829771.1
,2019-12,00000451100030330200,1161.76,40877248.3
,2019-12,00000471100058330200,599.37,20704975.1
,2019-12,00000461800008530201,1190.65,42555322.66
,2019-12,00000161800006301201,5642,201541916
,2019-12,00000461800505110101,1640.34,56556242.8
,2019-11,00000471100045331600,20.95,743548
,2019-11,00000171100063400300,367.42,12648458.6
,2019-12,00000461800008110101,374.49,13394015
,2019-12,00000471100050330200,2916.13,101662914.7
,2019-12,00000171407777331000,1548.32,55322512.6
,2019-12,00000451900020301501,1001.35,34391634.5
,2019-12,00000171406565331000,148,5455119
,2019-12,00000171100075400300,370.71,13663528.8
,2019-12,00000151200016800305,169.4,4387460
,2019-12,00000000000611100707,135.32,3937812
,2019-12,00000451100023710100,873.92,36748675.9
,2019-12,00000461800505400301,54.5,2071916
,2019-11,00000461800000030010,221.82,5706770
,2019-12,00000161200010800303,357.04,13399468.94
,2019-11,00000461800605301501,25.37,865117
,2019-12,00000171307506130200,622.2,23050996.5
,2019-12,00000000000615210500,566.44,19080895.6
,2019-11,00000161800010330201,45.53,1491107.5
,2019-12,00000461800007110101,176.98,6172292.4
,2019-12,00000171407777610100,332.27,12924553.6
,2019-12,00000451100042400300,548.15,20403350.25
,2019-12,00000000000623210200,40.26,1358754
,2019-12,00000471100045331600,108.2,3930821.9
,2019-12,00000461800012325201,65.93,2534638.5
,2019-12,00000171406565100704,65.5,2147745
,2019-11,00000451100040610300,7.24,283808
,2019-12,00000461800016310201,148.24,5484335
,2019-12,00000461800016400701,91.81,2952609.6
,2019-12,00000471100063600100,14.86,604802
,2019-12,00000451900022400301,12.7,488317
,2019-12,00000171409090400300,501.44,19238479
,2019-11,00000000000614710300,14.75,538375
,2019-12,00000000000006211601,1317.94,25071220
,2019-11,00000161800008110101,4.61,145676
,2019-12,00000171100071330200,163.22,5617455.1
,2020-01,00000151200032800300,9516.88,353603684.4
,2020-01,00000461800014330201,295.84,11236177
,2020-01,00000461800505301201,13239.87,479962567.5
,2020-01,00000471100058610300,106.38,4494411.4
,2020-01,00000471100058330200,396.81,14185029
,2020-01,00000161200008800302,6087.96,239720888.7
,2020-01,00000171100080330200,1046.42,38578364.1
,2020-01,00000000000006311303,3369.12,30427976
,2020-01,00000451100036330200,2862.21,106042470.1
,2020-01,00000171409090700200,1101.29,42066235.5
,2020-01,00000451900028301501,109.96,3955542
,2020-01,00000471100050330200,1328.92,49272591.8
,2020-01,00000471100050400700,226.28,8224253.4
,2020-01,00000461800007530101,2041.65,79374315.38
,2020-01,00000161200010800303,311.9,12193110.54
,2019-12,00000451100036332000,48.76,1701724
,2020-01,00000161200008800303,335.78,13437036.58
,2020-01,00000471100050400200,120.14,4509533.6
,2020-01,00000171620075130200,1097.11,41072851.98
,2020-01,00000000000614040000,1197.66,36433008.8
,2020-01,00000151200020800305,436.7,11616220
,2020-01,00000000000006219103,1351.39,9478363
,2020-01,00000000000006321306,980.46,4386678.6
,2020-01,00000000000006321309,2430.9,3338475.6
,2020-01,00000451100022400700,3.08,119557.2
,2019-12,00000471100056330226,55.1,2039115.5
,2020-01,00000451100042400300,155.71,6163520.5
,2020-01,00000171100065400330,123.59,5121001.75
,2020-01,00000461800018310201,56.24,2134630
,2020-01,00000471100045330200,1377.22,51157387.44
,2020-01,00000471100068400300,357.81,13736862.7
,2020-01,00000471100071400300,278.36,10993166.1
,2020-01,00000471100071331700,324.84,10259578
,2019-12,00000171407777100500,378.98,12178170.8
,2020-01,00000171409090301200,24.54,860127
,2019-12,00000461800008501601,74.42,2746098
,2020-01,00000000000614400600,23.64,789576
,2020-01,00000461800014301501,223.8,8391282.5
,2019-12,00000471100058610300,137.46,5452812.15
,2020-01,00000471100056130200,572.88,19857521.95
,2019-12,00000461800020310101,133.03,4458914.7
,2019-12,00000471100050400700,28.26,1054434
,2020-01,00000471100045331600,182.62,6942246.7
,2020-01,00000151100020030100,45.64,1312606.4
,2019-12,00000461800008520701,54.02,1885618.2
,2020-01,00000000000614100400,161.06,5082316.2
,2020-01,00000000000615100716,724.12,21508120.6
,2019-12,00000471100053600100,50.94,2062349
,2020-01,00000000000006211602,47.8,1010958
,2020-01,00000461800018310101,42.44,1462058
,2019-12,00000000000615100719,33.9,1037340
,2019-12,00000981200016800100,0.7,25200
,2020-01,00000171409090210200,213.64,7862783
,2020-01,00000471100063331600,93.83,3252834.1
